Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,9/30/2021,1.46,3/19/2020,1.787213115,3/8/2020,1.787213115,,,,,,,,,,
,6/30/2021,1.42,,1.674098361,,1.674098361,,,,,,,,,,
,3/31/2021,1.41,,1.594918033,,1.594918033,,,,,,,,,,
,12/31/2020,1.2,,1.153770492,,1.153770492,,,,,,,,,,
,9/30/2020,1.4,,1.58,,1.58,,1.51,,1.62,,1.73,,,,
,6/30/2020,1.27,,1.48,,1.48,,1.44,,1.39,,1.4,,,,
,3/31/2020,1.29,,1.41,,1.41,,1.43,,1.46,,1.18,,,,
2/3/2020,12/31/2019,0.83,,1.02,,1.09,,1.1,,0.93,,,,,,
11/18/2019,9/30/2019,1.03,,1.25,,1.24,,1.36,,1.56,,1.6,,1.48,,1.32
8/5/2019,6/28/2019,1.02,,1.16,,1.2,,1.16,,1.25,,1.08,,,,
4/29/2019,3/29/2019,1.2,,1.05,,1.04,,1.03,,1.1,,0.93,,,,
1/28/2019,12/31/2018,0.766793113,,0.75,,0.74,,0.83,,0.75,,,,,,
11/7/2018,9/28/2018,1.162179867,,1.32,,1.12,,1.16,,1.17,,,,,,
7/30/2018,6/29/2018,0.768882766,,1.03,,0.8,,0.92,,0.93,,,,,,
4/23/2018,3/29/2018,0.60374902,,0.74,,0.76,,0.81,,0.84,,,,,,
1/22/2018,12/29/2017,0.286615706,,0.62,,0.68,,0.69,,0.7,,,,,,
11/8/2017,9/29/2017,0.980323582,,0.92,,1,,0.99,,1,,1.08,,0.76,,
7/24/2017,6/30/2017,0.845942706,,0.76,,0.75,,0.78,,0.8,,0.84,,0.66,,
4/19/2017,3/31/2017,0.60008819,,0.66,,0.67,,0.7,,,,,,,,
1/23/2017,12/30/2016,0.73107066,,0.5,,0.52,,,,,,,,,,
,9/30/2016,0.994832611,,0.92,,0.95,,0.93,,0.92,,0.95,,0.98,,
,6/30/2016,0.808870367,,0.76,,0.77,,0.74,,0.75,,0.8,,0.82,,
,3/31/2016,0.647342382,,0.66,,0.67,,0.68,,0.75,,0.71,,,,
,12/31/2015,0.397853137,,0.51,,0.5,,0.66,,0.62,,0.61,,,,
,9/30/2015,0.773342396,,0.75,,0.76,,0.8,,0.81,,0.8,,0.88,,0.87
,6/30/2015,0.660652,,0.71,,0.72,,0.76,,0.7,,,,,,
,3/31/2015,0.659077247,,0.64,,0.65,,0.68,,0.64,,0.52,,,,
