CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2024,,0.3,11/17/2023,0.3,9/30/2023,0.5,8/12/2023,0.5,6/21/2023,,5/13/2023,0.7,3/18/2023,0.7,2/24/2023,0.76,1/18/2023,0.76,12/11/2022,0.9,11/11/2022,1,10/21/2022,1,9/17/2022,0.96,8/14/2022,0.87,7/20/2022,0.87,5/14/2022,,4/21/2022,0.79,3/19/2022,0.98,2/21/2022,0.98,1/20/2022,0.98,12/16/2021,1,11/12/2021,1.05,10/18/2021,1.05,9/16/2021,1.05,8/11/2021,1.15,6/24/2021,1.15,5/25/2021,1.27,4/27/2021,1.27,4/3/2021,1.11,3/2/2021,1.19,1/11/2021,1.19,12/10/2020,1.1,11/9/2020,1.1,10/20/2020,1.1,10/19/2020,1.39
,,9/30/2024,,0.27,,0.27,,0.6,,0.6,,,,0.62,,0.62,,0.68,,0.68,,0.72,,0.83,,0.83,,0.8,,0.65,,0.65,,,,0.82,,0.87,,0.87,,0.87,,0.92,,0.94,,0.94,,0.94,,1.03,,1.03,,0.94,,0.94,,0.97,,1.1,,1.1,,1.1,,1.1,,1.1,,1.18
,,6/30/2024,,0.25,,0.25,,0.54,,0.54,,,,0.47,,0.47,,0.59,,0.59,,0.7,,0.83,,0.83,,0.83,,0.87,,0.87,,,,0.65,,0.85,,0.85,,0.85,,0.96,,0.97,,0.97,,0.97,,1.1,,1.1,,0.93,,0.93,,0.96,,1.04,,1.04,,1,,1,,1,,0.99
,,3/30/2024,,0.28,,0.28,,0.52,,0.52,,,,0.44,,0.44,,0.56,,0.56,,0.61,,0.73,,0.73,,0.7,,0.73,,0.73,,,,0.62,,0.62,,0.62,,0.78,,0.82,,0.82,,0.82,,0.94,,0.94,,0.86,,0.86,,0.88,,0.96,,0.96,,1.09,,1.09,,1.09,,1.11,,
,,12/31/2023,,0.16,5/13/2023,0.16,5/13/2023,0.27,5/13/2023,0.44,5/13/2023,0.48,5/13/2023,0.7,3/18/2023,0.7,2/24/2023,0.76,1/18/2023,0.76,12/11/2022,0.9,11/11/2022,1,10/21/2022,1,9/17/2022,0.96,8/14/2022,0.87,7/20/2022,0.87,5/14/2022,,4/21/2022,0.79,3/19/2022,0.98,2/21/2022,0.98,1/20/2022,0.98,12/16/2021,1,11/12/2021,1.05,10/18/2021,1.05,9/16/2021,1.05,8/11/2021,1.15,6/24/2021,1.15,5/25/2021,1.27,4/27/2021,1.27,4/3/2021,1.11,3/2/2021,1.19,1/11/2021,1.19,12/10/2020,1.1,11/9/2020,1.1,10/20/2020,1.1,10/19/2020,1.39
,11/14/2023,9/30/2023,-0.33,-0.33,,0.08,,0.18,,0.32,,0.37,,0.62,,0.62,,0.68,,0.68,,0.72,,0.83,,0.83,,0.8,,0.65,,0.65,,,,0.82,,0.87,,0.87,,0.87,,0.92,,0.94,,0.94,,0.94,,1.03,,1.03,,0.94,,0.94,,0.97,,1.1,,1.1,,1.1,,1.1,,1.1,,1.18
,8/9/2023,6/30/2023,0.01,0.01,,0.25,,0.3,,0.47,,0.47,,0.59,,0.59,,0.7,,0.83,,0.83,,0.83,,0.87,,0.87,,,,0.65,,0.85,,0.85,,0.85,,0.96,,0.97,,0.97,,0.97,,1.1,,1.1,,0.93,,0.93,,0.96,,1.04,,1.04,,1,,1,,1,,0.99,,,,
,5/10/2023,3/30/2023,0.23,0.23,,0.44,,0.44,,0.56,,0.56,,0.61,,0.73,,0.73,,0.7,,0.73,,0.73,,,,0.62,,0.62,,0.62,,0.78,,0.82,,0.82,,0.82,,0.94,,0.94,,0.86,,0.86,,0.88,,0.96,,0.96,,1.09,,1.09,,1.09,,1.11,,,,,,,,,,
,3/15/2023,12/31/2022,0.26,0.28,,0.55,,0.6,,0.6,,0.64,,0.78,,0.78,,0.8,,0.8,,0.78,,0.79,4/21/2022,0.79,3/19/2022,0.98,2/21/2022,0.98,1/20/2022,0.98,12/16/2021,1,11/12/2021,1.05,10/18/2021,1.05,9/16/2021,1.05,8/11/2021,1.15,6/24/2021,1.15,5/25/2021,1.27,4/27/2021,1.27,4/3/2021,1.11,3/2/2021,1.19,1/11/2021,1.19,12/10/2020,1.1,11/9/2020,1.1,10/20/2020,1.1,10/19/2020,1.39,,,,,,,,,,
,11/9/2022,9/30/2022,0.59,0.59,,0.6,,0.6,,0.64,,0.64,,0.81,,0.82,,0.82,,0.87,,0.87,,0.87,,0.92,,0.94,,0.94,,0.94,,1.03,,1.03,,0.94,,0.94,,0.97,,1.1,,1.1,,1.1,,1.1,,1.1,,1.18,,,,,,,,,,,,,,,,,,
