Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,12/31/2020,2.91,4/7/2020,2.94,3/6/2020,2.96,2/8/2020,2.88,2/6/2020,2.88,,2.87,,2.89,,0.99,,,
,9/30/2020,2.67,,2.69,,2.68,,2.68,,2.68,,2.69,,0.89,,,,,
,6/30/2020,2.71,,2.73,,2.73,,2.75,,2.75,,0.94,,,,,,,
,3/31/2020,2.67,,2.69,,2.7,,2.73,,2.73,,2.74,,1.46,,,,,
2/4/2020,12/31/2019,2.568545734,,2.568545734,,2.12,,2.14,,2.19,,0.78,,,,,,,
10/29/2019,9/30/2019,2.381314245,,0.67,,,,,,,,,,,,,,,
7/23/2019,6/28/2019,2.499078101,,0.7,,,,,,,,,,,,,,,
4/30/2019,3/29/2019,2.253340762,,1.11,,,,,,,,,,,,,,,
2/5/2019,12/31/2018,0.766043395,,0.56,,,,,,,,,,,,,,,
10/23/2018,9/28/2018,2.641537382,,0.51,,,,,,,,,,,,,,,
7/24/2018,6/29/2018,2.762712125,,0.48,,,,,,,,,,,,,,,
4/24/2018,3/29/2018,2.304708978,,0.9,,,,,,,,,,,,,,,
1/30/2018,12/29/2017,3.253416983,,0.24,,,,,,,,,,,,,,,
10/26/2017,9/29/2017,-0.150095165,,0.19,,,,,,,,,,,,,,,
7/25/2017,6/30/2017,2.765686365,,0.2,,,,,,,,,,,,,,,
4/25/2017,3/31/2017,0.098282529,,0.41,,,,,,,,,,,,,,,
1/31/2017,12/29/2016,3.413814324,,2.54,,2.16,,2.21,,2.23,,,,,,,,,
10/25/2016,9/29/2016,2.8850456,,2.54,,1.84,,1.88,,1.89,,,,,,,,,
7/26/2016,6/29/2016,1.540886673,,2.54,,1.89,,1.88,,1.9,2.29,,,,,,,,
5/4/2016,3/30/2016,0.975534436,,2.3,,1.88,,1.89,,1.9,,,,,,,,,
,12/30/2015,2.083587553,,2.26,,2.11,,2.12,,2.13,2.12,2.17,2.13,2.12,2.16,2,,,
,9/29/2015,2.600605798,,2,,1.96,,1.84,,1.85,1.82,1.8,1.82,1.83,1.82,1.81,1.85,,
