Date,Amount
04/29/2019,0.355
01/30/2019,0.355
10/30/2018,0.335
07/30/2018,0.335
04/27/2018,0.335
01/30/2018,0.336
10/30/2017,0.315
07/27/2017,0.315
04/26/2017,0.315
01/27/2017,0.315
10/27/2016,0.294
07/27/2016,0.294
04/27/2016,0.294
01/27/2016,0.294
10/28/2015,0.275
07/29/2015,0.275
04/28/2015,0.275
01/28/2015,0.275
10/29/2014,0.255
07/29/2014,0.255
04/28/2014,0.255
01/29/2014,0.255
10/29/2013,0.235
07/29/2013,0.235
04/26/2013,0.235
01/29/2013,0.235
10/31/2012,0.225
10/29/2012,0.45
07/27/2012,0.225
04/26/2012,0.225
01/27/2012,0.225
10/27/2011,0.2125
07/27/2011,0.2125
04/27/2011,0.2125
01/27/2011,0.2125
10/27/2010,0.1975
07/28/2010,0.1975
04/28/2010,0.1975
01/27/2010,0.1975
10/28/2009,0.1875
07/29/2009,0.1875
04/28/2009,0.1875
01/28/2009,0.1875
10/29/2008,0.175
07/29/2008,0.175
04/28/2008,0.175
01/29/2008,0.175
10/29/2007,0.159
07/27/2007,0.159
04/26/2007,0.159
01/29/2007,0.159
10/27/2006,0.144
07/27/2006,0.144
04/26/2006,0.144
01/27/2006,0.144
10/27/2005,0.1315
07/27/2005,0.1315
04/27/2005,0.1315
01/27/2005,0.1315
10/27/2004,0.1315
07/28/2004,0.125
04/28/2004,0.125
01/28/2004,0.125
10/29/2003,0.125
07/29/2003,0.125
04/28/2003,0.125
01/29/2003,0.125
10/29/2002,0.25
07/29/2002,0.25
04/26/2002,0.25
01/29/2002,0.25
10/29/2001,0.25
07/27/2001,0.25
04/26/2001,0.25
01/29/2001,0.25
10/27/2000,0.25
07/27/2000,0.25
04/26/2000,0.25
01/27/2000,0.25
10/27/1999,0.25
07/28/1999,0.25
04/28/1999,0.25
01/27/1999,0.25
10/28/1998,0.25
07/29/1998,0.25
04/30/1998,0.0715
04/22/1998,0.179
01/22/1998,0.25
10/29/1997,0.25
07/31/1997,0.25
04/28/1997,0.25
01/29/1997,0.25
10/30/1996,0.246
08/01/1996,0.246
04/26/1996,0.246
01/31/1996,0.246
10/27/1995,0.2425
07/27/1995,0.2425
04/24/1995,0.2425
01/25/1995,0.2425
10/25/1994,0.24
07/25/1994,0.24
04/25/1994,0.24
01/25/1994,0.24
10/25/1993,0.2375
07/26/1993,0.2375
04/26/1993,0.2375
01/25/1993,0.2375
10/26/1992,0.2325
07/27/1992,0.2325
04/24/1992,0.2325
01/27/1992,0.2325
10/25/1991,0.225
07/25/1991,0.225
04/24/1991,0.225
01/25/1991,0.225
10/25/1990,0.2175
07/25/1990,0.2175
04/24/1990,0.2175
01/25/1990,0.2175
10/25/1989,0.21
07/25/1989,0.21
04/24/1989,0.21
01/25/1989,0.21
10/25/1988,0.2025
07/25/1988,0.2025
04/25/1988,0.81
01/25/1988,0.2025
10/26/1987,0.195
07/27/1987,0.195
04/24/1987,0.19
01/26/1987,0.19
