AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,196.0,192.0,255.0,92.0,101.0,86.0
Cash_from_Operations,858.0,2458.0,2187.0,2767.0,3687.0,3419.0
Diluted_EPS,3.594,5.315,8.533,12.713,8.506,7.115
Goodwill_Intangibles,5252.0,5254.0,5106.0,5172.0,5415.0,
LT_Debt,8905.0,9125.0,0.0,70.0,34.0,0.0
Net_Income,917.0,1351.0,2160.0,3218.0,2153.0,1801.0
Revenue,6174.0,6304.0,6532.0,7777.0,9777.0,10500.0
Shares_Diluted,255.169,254.1927,253.1304,253.1304,253.1304,253.1304
Total_Assets,10955.0,10681.0,10109.0,10548.0,10494.0,
Total_Liabilities,11847.0,12189.0,4623.0,3513.0,4146.0,
