AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,14.3,21.7,3.4,2.3,3.1,1.7,2.2,2.1,11.3
Cash_from_Operations,-19.9,-39.6,5.7,-14.4,-4.7,0.7,8.7,7.4,6.5
Diluted_EPS,-1.135,-0.111,0.189,0.045,-0.169,-0.122,-0.051,0.054,-0.004
Goodwill_Intangibles,103.4,143.9,41.3,,,,,,0.0
LT_Debt,51.6,57.1,53.9,29.0,32.4,35.9,42.0,44.4,62.7
Net_Income,-101.1,-9.1,11.6,2.3,-7.5,-4.8,-2.0,2.1,-0.1
Revenue,293.6,268.0,170.1,144.6,150.0,158.4,155.5,141.9,175.0
Shares_Diluted,89.127,82.161,61.49,51.179,44.3567,39.1439,38.883,38.807,38.707
Total_Assets,465.3,566.9,354.0,183.4,141.4,142.3,135.0,130.0,177.9
Total_Liabilities,146.1,142.1,148.7,56.9,57.0,61.3,67.6,67.1,99.8
