AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,56.8,82.9,150.3,109.2,86.4,84.0,97.1,101.4,73.9
Cash_from_Operations,218.8,111.8,120.4,173.4,134.6,113.7,101.5,188.4,120.0
Diluted_EPS,4.813,1.636,1.431,2.138,4.718,1.119,2.091,2.749,3.8930000000000002
Goodwill_Intangibles,17.6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
LT_Debt,135.7,275.2,297.7,200.0,248.3,264.8,0.0,0.0,0.0
Net_Income,139.8,46.1,41.3,66.2,146.7,34.1,63.8,83.9,118.7
Revenue,1684.6,1157.9,1297.4,1515.0,1475.2,1191.5,1329.4,1790.4,1766.6
Shares_Diluted,29.0452,28.1571,28.8988,30.9783,31.0916,30.5036,30.5,30.5,30.5
Total_Assets,1312.0,1263.4,1236.0,1034.6,1050.3,905.0,841.0,823.0,734.0
Total_Liabilities,710.8,819.3,835.1,614.3,673.9,689.6,361.9,406.3,
