AAII_YR_DATA,12/31/2022
Capital_Expenditures,1.8
Cash_from_Operations,-14.8
Diluted_EPS,-0.487
Goodwill_Intangibles,20.5
LT_Debt,48.9
Net_Income,-16.7
Revenue,58.8
Shares_Diluted,34.3517
Total_Assets,104.5
Total_Liabilities,86.2
