AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.2,0.8,0.8,0.8,2.1,0.9,0.8,0.9,0.7
Cash_from_Operations,-9.5,6.0,2.3,-4.5,7.3,-2.0,8.9,5.5,-1.7
Diluted_EPS,0.164,0.276,0.016,0.099,0.127,-0.301,0.057,0.191,0.209
Goodwill_Intangibles,12.0,13.6,14.8,15.3,14.8,17.0,16.8,5.6,6.3
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
Net_Income,3.8,6.4,0.4,2.3,2.9,-6.9,1.0,3.1,3.4
Revenue,35.6,34.9,33.4,35.1,92.6,64.3,67.8,63.7,77.5
Shares_Diluted,23.31,23.2086,23.1544,23.1294,23.2878,22.989,18.0314,16.4107,16.3381
Total_Assets,51.9,59.4,108.1,127.0,119.2,112.5,106.0,75.0,83.8
Total_Liabilities,14.2,23.6,41.0,39.3,38.0,29.6,24.0,19.2,27.7
