AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,82.5,0.1,0.0,,0.0,0.0,0.0,0.0,0.1
Cash_from_Operations,32.7,40.6,31.8,43.3,48.2,222.4,-18.9,70.0,-65.5
Diluted_EPS,-0.999,1.847,-19.331,2.427,0.667,0.548,-5.202,-1.29,4.087
Goodwill_Intangibles,8.9,3.9,3.3,,,0.0,0.2,5.3,28.3
LT_Debt,1867.0,1814.4,1304.7,1872.6,1554.2,1213.5,1191.5,1621.7,1716.9
Net_Income,-8.8,18.0,-208.1,25.6,7.0,5.7,-53.0,-13.9,44.0
Revenue,157.5,112.5,,145.0,123.5,119.7,120.5,145.9,134.7
Shares_Diluted,8.8118,9.7632,10.7633,10.5567,10.4609,10.3585,10.1797,10.76,10.7715
Total_Assets,2376.7,2284.3,1654.1,2454.3,2130.9,1912.1,2053.5,2765.6,2728.7
Total_Liabilities,1941.2,1836.1,1319.7,1897.9,1577.1,1240.6,1349.2,1946.7,1793.2
