AAII_YR_DATA,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
Capital_Expenditures,0.4,0.4,0.2,0.8,0.4,0.5,0.5
Cash_from_Operations,5.5,6.7,6.7,5.7,6.5,6.8,7.2
Diluted_EPS,1.392,1.458,1.539,1.732,1.692,1.969,2.334
Goodwill_Intangibles,0.2,0.1,0.1,0.1,0.1,0.2,0.2
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Net_Income,4.1,4.4,4.6,5.2,5.1,6.1,7.3
Revenue,14.7,15.1,16.3,17.3,17.9,20.0,21.7
Shares_Diluted,2.9617,2.9893,3.0,3.0005,3.0199,3.0763,3.1258
Total_Assets,447.3,442.9,416.2,406.1,393.5,372.6,369.1
Total_Liabilities,369.9,366.0,340.5,332.0,321.3,300.3,294.7
