AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,15.6,6.4,2.2,1.5,4.4
Cash_from_Operations,-208.2,-148.4,-75.6,-60.2,-67.1
Diluted_EPS,-1.252,-0.687,-2.544,-0.309,-0.246
Goodwill_Intangibles,40.9,5.5,0.7,0.7,0.7
LT_Debt,612.2,609.0,0.8,1.9,9.4
Net_Income,-445.9,-238.0,-369.1,-100.0,-79.6
Revenue,40.7,31.9,14.0,12.6,11.7
Shares_Diluted,356.2658,346.301,145.097,323.9362,323.9362
Total_Assets,687.3,883.5,510.4,51.9,28.2
Total_Liabilities,713.7,685.6,361.6,18.9,152.9
