AAII_YR_DATA,01/01/2023,01/02/2022,01/03/2021,12/29/2019,12/30/2018
Capital_Expenditures,17.1,30.8,85.8,8.5,5.5
Cash_from_Operations,-14.3,-55.7,96.2,10.9,12.6
Diluted_EPS,-0.97,-1.746,-0.542,-0.432,-0.002
Goodwill_Intangibles,5.6,3.9,4.6,1.6,1.8
LT_Debt,44.4,58.4,69.8,43.8,33.1
Net_Income,-39.6,-50.7,-20.6,-16.4,-0.1
Revenue,212.9,162.8,140.4,136.7,132.2
Shares_Diluted,40.8352,29.0382,38.0157,38.0157,38.0157
Total_Assets,305.8,263.6,263.2,190.4,148.3
Total_Liabilities,252.1,202.5,263.2,166.3,109.7
