AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,911.5,818.0,211.7,164.9,127.0
Cash_from_Operations,2005.9,1050.4,431.0,564.8,541.9
Diluted_EPS,0.505,2.679,0.443,1.235,0.826
Goodwill_Intangibles,4449.8,3576.7,2020.6,1904.0,1950.4
LT_Debt,10344.5,8906.8,2642.0,2219.5,1769.3
Net_Income,236.6,1231.7,171.4,487.9,332.4
Revenue,7993.2,5010.1,2717.3,2727.7,2069.8
Shares_Diluted,468.645,459.805,386.648,395.088,402.239
Total_Assets,27051.7,19680.9,7193.3,6610.8,5791.1
Total_Liabilities,22897.3,16715.8,5011.3,4487.9,3793.9
