AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.2,0.6,0.3,0.4,0.3,0.4
Cash_from_Operations,-7.8,-10.2,-8.4,-6.9,-4.4,-3.1
Diluted_EPS,,-494.583,-407.708,-496.701,-206.736,-192.055
Goodwill_Intangibles,0.2,3.2,1.1,1.2,1.3,2.9
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,,-16.8,-11.4,-14.3,-6.0,-5.5
Revenue,1.7,2.5,2.9,1.5,1.5,0.8
Shares_Diluted,0.034,0.028,0.0288,0.0288,0.0288,
Total_Assets,5.7,9.6,7.1,7.5,7.5,8.5
Total_Liabilities,7.1,10.2,6.7,9.8,10.7,7.2
