AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,18.6,7.7,4.6,2.5,1.2,4.1
Cash_from_Operations,361.5,360.4,126.0,30.7,18.8,42.4
Diluted_EPS,0.53,0.957,-1.454,-0.754,-0.331,-0.142
Goodwill_Intangibles,2444.2,2531.7,2726.1,1589.6,585.1,
LT_Debt,678.2,677.0,287.3,1122.7,443.8,0.0
Net_Income,76.6,138.2,-143.5,-95.2,-41.8,-18.0
Revenue,1139.1,978.6,508.2,332.0,202.2,167.8
Shares_Diluted,144.6035,144.4415,98.6811,126.3272,126.3272,126.3272
Total_Assets,4760.8,4667.3,3036.1,2105.4,780.1,
Total_Liabilities,2101.6,1952.8,1078.7,1650.3,600.0,
