AAII_YR_DATA,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016
Capital_Expenditures,1.4,1.5,1.3,2.6,3.3,1.0,0.2
Cash_from_Operations,-13.2,4.5,11.9,7.7,13.9,17.3,0.1
Diluted_EPS,-7.304,-35.299,-6.698,-0.036,2.206,16.542,-37.654
Goodwill_Intangibles,0.5,6.4,6.4,28.0,0.1,0.1,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-16.4,-4.1,-15.9,-0.1,5.3,2.0,-4.5
Revenue,36.2,40.6,56.3,48.6,43.5,29.4,13.6
Shares_Diluted,2.2491,0.1157,2.3669,2.4054,2.4027,0.1191,0.1191
Total_Assets,87.2,140.0,150.2,135.0,114.7,42.9,13.2
Total_Liabilities,22.7,54.8,58.9,31.8,20.4,18.9,13.4
