AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,26.5,77.9,37.9,23.8,23.9
Cash_from_Operations,-47.2,-215.2,61.4,42.0,63.6
Diluted_EPS,-0.632,-0.829,-0.07,0.105,-0.071
Goodwill_Intangibles,168.3,210.9,59.5,24.3,
LT_Debt,39.7,0.0,31.3,0.0,0.0
Net_Income,-194.2,-228.4,-21.4,31.9,-21.6
Revenue,692.2,873.6,863.6,755.8,790.3
Shares_Diluted,307.4892,275.3588,304.4259,304.4259,304.4259
Total_Assets,443.4,637.6,356.3,291.1,
Total_Liabilities,231.9,252.2,257.0,203.7,
