AAII_YR_DATA,06/30/2022,10/02/2021,06/30/2021,10/03/2020,06/30/2020,09/28/2019,06/30/2019,09/29/2018,06/30/2018,09/30/2017,06/30/2017,10/01/2016,06/30/2016,10/03/2015,09/27/2014,09/28/2013
Capital_Expenditures,314.3,82.6,146.3,64.9,136.9,83.3,137.1,90.8,153.4,63.8,138.5,49.3,58.2,22.2,23.4,22.0
Cash_from_Operations,413.3,72.9,574.4,206.9,297.3,181.4,178.5,236.1,161.0,384.1,118.6,105.3,123.0,124.5,91.4,115.5
Diluted_EPS,1.448,-4.377,2.263,-17.181,-0.79,2.217,1.634,9.954,1.351,8.359,1.477,3.584,1.041,3.057,2.357,2.702
Goodwill_Intangibles,1921.2,120.0,2015.2,123.1,1997.4,511.9,459.1,585.2,395.7,607.7,384.3,115.3,358.3,124.6,141.2,156.4
LT_Debt,1915.7,425.8,1342.9,411.3,2218.3,392.2,466.5,420.7,443.4,589.0,345.4,0.0,215.3,0.0,0.0,0.0
Net_Income,166.5,-106.8,260.3,-414.1,-67.0,53.8,107.5,247.4,88.0,207.1,95.3,87.5,65.5,76.4,59.1,66.4
Revenue,3316.6,1487.5,3105.9,1229.0,2380.1,1430.6,1362.5,1902.6,1158.8,1723.3,972.0,857.4,827.2,802.5,794.6,810.1
Shares_Diluted,116.513,24.39,115.034,24.105,84.828,24.279,65.804,24.851,65.133,24.777,64.507,24.415,62.909,24.992,25.076,25.076
Total_Assets,7844.8,1888.9,6512.6,1827.5,5234.7,2083.2,1953.8,2260.0,1761.7,2337.8,1477.3,1161.1,1212.0,968.9,999.4,966.5
Total_Liabilities,3461.6,1020.7,2380.3,900.3,3157.9,798.4,820.6,945.5,737.4,1174.5,576.7,250.3,429.6,172.5,179.7,208.0
