AAII_YR_DATA,02/28/2022,02/28/2021,12/31/2020,02/29/2020,12/31/2019,02/28/2019
Capital_Expenditures,31.8,15.5,,11.6,,2.7
Cash_from_Operations,51.2,14.5,-1.2,-55.8,,9.9
Diluted_EPS,-0.675,-0.199,-0.068,-0.542,,-0.161
Goodwill_Intangibles,4938.3,3453.5,,1220.3,,
LT_Debt,865.5,509.4,0.0,886.8,0.0,0.0
Net_Income,-165.8,-37.1,-3.8,-101.4,,-30.1
Revenue,425.6,330.0,,305.1,,201.2
Shares_Diluted,245.454,187.0511,56.75,187.0511,,187.0511
Total_Assets,5405.5,3838.2,414.8,1440.0,,
Total_Liabilities,2219.7,1753.8,18.9,1225.4,,
