AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,188.4,154.5,13.6,12.9,18.1,8.5,13.4,8.7
Cash_from_Operations,121.1,641.8,324.4,274.9,280.5,103.0,90.2,89.7
Diluted_EPS,1.401,2.553,3.941,2.084,2.175,2.389,1.967,2.004
Goodwill_Intangibles,1497.7,1524.6,1234.1,1232.7,1232.1,325.5,213.2,133.6
LT_Debt,664.9,529.6,15.9,35.7,159.3,61.0,0.0,0.0
Net_Income,212.8,285.5,283.8,149.0,107.9,86.8,62.1,56.8
Revenue,1765.7,1587.3,776.0,632.1,410.4,291.8,227.3,214.1
Shares_Diluted,151.8876,111.8184,72.025,71.513,49.603,36.353,31.588,28.351999999999997
Total_Assets,47802.5,46651.6,21498.3,19280.9,17355.2,9188.8,7322.1,6184.7
Total_Liabilities,42131.7,40944.5,18662.1,16612.1,14773.7,8172.8,6525.0,5488.2
