AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.2,0.2,3.5,2.5,0.0,1.0
Cash_from_Operations,28.7,16.2,14.8,12.8,9.8,9.3
Diluted_EPS,2.512,1.612,0.527,0.861,1.191,0.847
Goodwill_Intangibles,7.5,7.5,7.6,7.6,7.6,7.8
LT_Debt,54.2,54.0,25.0,5.0,5.0,15.9
Net_Income,21.1,13.4,4.3,7.0,8.7,5.6
Revenue,82.3,61.3,53.0,49.1,40.9,34.7
Shares_Diluted,8.4043,8.2929,8.1691,8.1321,7.3176,6.6425
Total_Assets,2042.2,2015.0,1905.8,1152.0,1005.7,866.5
Total_Liabilities,1870.0,1864.2,1769.4,1021.8,884.6,781.7
