AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
Capital_Expenditures,,,3.3,3.9,3.9,3.2,129.9,205.9,176.4,107.0,162.2,161.5,118.5
Cash_from_Operations,-571.6,-1018.0,-1764.0,-1372.2,-982.7,-717.3,1984.5,1997.4,1764.5,1699.6,1241.8,1152.3,923.9
Diluted_EPS,1.009,1.084,1.104,1.144,1.134,1.243,,0.0,0.0,0.0,0.0,0.0,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,95213.0,84953.8,74022.4,70538.2,65628.6,62342.1,89183.6,82489.1,82489.1,77735.9,68880.4,66788.2,62199.9
Net_Income,765.2,709.2,627.6,577.6,525.4,536.1,1888.4,,1719.4,1539.8,1437.1,899.4,986.6
Revenue,1967.0,2324.6,3143.1,2682.2,2088.0,1767.9,3520.0,,3243.3,3243.1,3208.2,3208.2,3588.9
Shares_Diluted,758.2915,654.0908,568.4521,504.742,463.393,431.1613,,,,,,,
Total_Assets,142417.0,130308.0,115232.0,109772.0,104545.0,102563.0,108621.0,100330.0,100330.0,93508.7,83136.7,79772.4,73824.7
Total_Liabilities,135411.0,123729.0,109050.0,103884.0,98902.8,97077.2,90814.1,83850.3,83850.3,79202.3,70309.0,68114.5,63481.6
