AAII_YR_DATA,01/28/2023,01/29/2022,01/30/2021,02/01/2020,02/02/2019
Capital_Expenditures,164.0,169.0,127.0,225.0,341.0
Cash_from_Operations,437.0,851.0,674.0,315.0,698.0
Diluted_EPS,4.143,7.178,-0.778,-9.696,2.713
Goodwill_Intangibles,791.0,246.0,246.0,246.0,
LT_Debt,1271.0,978.0,97.0,92.0,0.0
Net_Income,348.0,646.0,-72.0,-897.0,251.0
Revenue,6344.0,6785.0,5413.0,7509.0,8103.0
Shares_Diluted,84.0,90.0,92.5102,92.5102,92.5102
Total_Assets,4711.0,4344.0,4229.0,5270.0,
Total_Liabilities,4328.0,4087.0,3338.0,3958.0,
