AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
Capital_Expenditures,12.8,3.2,2.6,2.0,5.9
Cash_from_Operations,59.1,-17.8,11.4,2.5,-5.2
Diluted_EPS,-0.099,-0.454,0.08,0.021,0.069
Goodwill_Intangibles,167.1,167.6,166.9,167.1,167.0
LT_Debt,18.1,9.5,220.9,150.5,142.7
Net_Income,-8.5,-35.1,6.8,1.8,5.9
Revenue,742.7,659.1,484.0,408.2,326.8
Shares_Diluted,86.3,77.3601,85.7833,85.7833,85.7833
Total_Assets,662.0,562.0,415.4,360.9,337.6
Total_Liabilities,197.2,146.7,346.1,241.0,221.2
