AAII_YR_DATA,12/31/2022,01/01/2022,01/02/2021,12/28/2019,12/29/2018,12/30/2017,12/31/2016,01/02/2016,01/03/2015,12/28/2013
Capital_Expenditures,128.6,58.3,24.8,32.8,31.6,41.1,22.6,31.2,17.7,28.9
Cash_from_Operations,60.6,-21.4,91.7,9.8,-11.1,31.5,3.2,31.7,26.7,29.9
Diluted_EPS,-0.074,-0.052,0.753,-0.1,-1.345,-1.657,-0.619,-0.31,0.192,-0.129
Goodwill_Intangibles,139.6,152.4,137.3,296.3,188.9,281.6,407.1,436.7,42.8,101.7
LT_Debt,270.0,214.8,66.2,235.8,227.0,225.8,229.0,321.2,3.5,42.7
Net_Income,-8.0,-5.4,67.2,-8.8,-117.2,-143.1,-53.0,-22.5,13.0,-8.5
Revenue,934.7,812.6,789.2,721.6,784.0,1279.6,1346.7,1145.1,1102.7,998.7
Shares_Diluted,107.659,104.098,89.234,87.787,87.082,86.355,85.569,72.4083,68.3706,66.2881
Total_Assets,855.9,754.8,585.6,923.4,896.7,982.2,1129.6,1219.2,641.0,705.9
Total_Liabilities,508.6,413.3,252.7,712.8,685.1,661.6,683.7,798.2,300.3,380.6
