AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,970.0,705.0,736.0,756.0,718.0,707.0,523.0,414.0,553.0,471.0
Cash_from_Operations,18849.0,15227.0,10440.0,12784.0,12941.0,9317.0,5574.0,6584.0,7205.0,3022.0
Diluted_EPS,7.002,5.627,4.888,5.317,4.423,2.797,2.481,2.576,2.155,1.898
Goodwill_Intangibles,42852.0,43622.0,43718.0,42436.0,42752.0,42958.0,42300.0,34195.0,23164.0,23032.0
LT_Debt,20200.0,19978.0,21071.0,16729.0,16630.0,16618.0,15882.0,0.0,0.0,0.0
Net_Income,14630.0,12008.0,10475.0,11650.0,9942.0,6467.0,5929.0,6313.0,5421.0,4961.0
Revenue,29310.0,24105.0,21846.0,22977.0,20609.0,18358.0,15082.0,13880.0,12702.0,11778.0
Shares_Diluted,2136.0,2188.0,2223.0,2272.0,2329.0,2395.0,2414.0,2457.0,2524.0,2524.0
Total_Assets,85501.0,82896.0,80919.0,72574.0,69225.0,67977.0,64035.0,39367.0,38569.0,35956.0
Total_Liabilities,49920.0,45307.0,44709.0,37890.0,35219.0,35217.0,31123.0,9525.0,11156.0,9086.0
