AAII_YR_DATA,12/31/2022,12/31/2021,06/30/2020,06/30/2019,06/30/2018
Capital_Expenditures,20.8,57.1,15.8,22.0,20.4
Cash_from_Operations,35.6,119.4,78.2,87.1,78.6
Diluted_EPS,-0.046,0.094,0.074,0.27,0.375
Goodwill_Intangibles,777.1,741.7,430.9,282.5,273.6
LT_Debt,118.9,125.7,149.5,0.0,0.0
Net_Income,-10.5,21.3,15.5,55.8,77.2
Revenue,448.9,574.5,322.7,322.5,289.4
Shares_Diluted,228.7,226.3,209.6,206.7,205.8
Total_Assets,1311.2,1242.1,1006.9,554.4,514.8
Total_Liabilities,409.2,427.9,383.2,76.8,78.3
