AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,10/31/2009,10/31/2008
Capital_Expenditures,0.0,0.1,,0.0,0.0,0.0,0.0,0.0,,,
Cash_from_Operations,0.3,2.7,0.8,-0.2,0.3,0.3,0.9,0.3,0.1,0.0,0.0
Diluted_EPS,0.099,0.045,-0.199,-0.865,-1.054,-2.019,-1.318,-1.078,0.023,15837.032,-401.639
Goodwill_Intangibles,1.3,1.2,0.5,0.7,0.9,1.0,1.2,0.7,1.3,1.5,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.2,0.0,0.0
Net_Income,0.3,0.7,-0.5,-2.4,-3.0,-3.7,-2.3,-1.9,0.0,3.5,0.0
Revenue,5.5,5.8,4.5,3.8,2.9,3.1,3.7,2.4,0.9,0.0,0.0
Shares_Diluted,2.8699,14.6846,2.7549,2.7498,2.843,1.8275,1.7809,1.7847,0.3478,,
Total_Assets,3.0,3.9,1.3,1.4,2.2,1.8,2.2,2.8,1.6,17.3,0.0
Total_Liabilities,1.7,3.0,1.2,1.1,1.1,2.2,1.1,1.0,0.4,10.4,0.0
