AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017
Capital_Expenditures,11.4,9.9,6.3,7.3,10.1,4.1
Cash_from_Operations,7.4,159.4,212.5,-5.7,-4.7,6.5
Diluted_EPS,9.133,6.96,2.772,1.88,-0.532,-0.803
Goodwill_Intangibles,685.1,253.8,174.4,174.4,143.9,116.6
LT_Debt,421.2,103.1,82.0,64.8,40.0,25.4
Net_Income,130.9,79.1,17.4,26.0,-7.4,-11.1
Revenue,1744.8,1228.2,1023.0,767.6,602.8,391.5
Shares_Diluted,14.337,11.359,6.287,13.858,13.858,13.858
Total_Assets,1497.4,720.6,458.1,504.8,375.4,258.3
Total_Liabilities,1112.1,494.7,335.2,387.0,279.4,160.3
