AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,21.4,22.5,34.5,41.2,53.8,74.0,55.0
Cash_from_Operations,165.0,77.8,136.8,92.6,-81.4,-6.5,-102.4
Diluted_EPS,-1.499,-0.159,0.31,-1.075,0.015,0.632,0.743
Goodwill_Intangibles,237.7,236.0,524.2,267.5,490.1,429.4,268.0
LT_Debt,301.9,315.1,430.1,373.5,365.0,90.8,86.3
Net_Income,-246.4,-23.2,41.4,-142.0,2.0,83.5,89.2
Revenue,1137.9,1086.2,1118.1,1802.1,2177.0,1952.3,1662.2
Shares_Diluted,164.4426,145.8868,133.6398,132.0108,132.0108,132.0108,120.0694
Total_Assets,1784.0,2069.7,2414.4,2519.9,2479.1,2153.4,1759.4
Total_Liabilities,1372.3,1488.0,1822.9,1968.3,1766.4,1403.8,989.1
