AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,2.4,1.8,8.3,8.2,4.6
Cash_from_Operations,1375.9,1474.8,95.4,828.1,874.9
Diluted_EPS,0.283,6.6,3.022,1.565,0.862
Goodwill_Intangibles,366.4,394.7,27.6,27.7,
LT_Debt,444.6,444.4,298.7,245.3,0.0
Net_Income,87.4,2025.8,927.6,480.5,264.5
Revenue,1892.8,5349.3,2113.0,2095.5,1611.4
Shares_Diluted,308.8927,306.9478,306.9478,306.9478,306.9478
Total_Assets,7941.7,8962.0,7000.6,5509.4,
Total_Liabilities,6778.4,6355.4,3739.7,3491.4,
