AAII_YR_DATA,04/03/2021,03/28/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015
Capital_Expenditures,22.7,22.9,26.8,12.5,23.2,30.7,22.0
Cash_from_Operations,145.2,78.0,116.0,121.1,139.4,146.9,154.4
Diluted_EPS,-1.397,-20.858,-3.608,-0.027,2.506,1.958,2.634
Goodwill_Intangibles,1137.8,1263.1,2104.1,15.5,15.6,31.7,16.1
LT_Debt,1496.1,1621.7,1640.8,492.5,491.1,489.6,34.5
Net_Income,-57.3,-827.2,-135.6,-0.9,82.6,68.4,112.3
Revenue,1727.6,1697.0,1674.5,856.9,881.2,856.9,865.0
Shares_Diluted,41.044,39.658,37.569,32.345,32.963,34.938,42.643
Total_Assets,2664.3,2257.2,3116.5,1076.9,1017.2,933.4,876.0
Total_Liabilities,2745.0,2340.0,2394.8,723.9,635.0,621.0,148.6
