AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,10.5,17.1,12.4,9.6,3.1
Cash_from_Operations,-30.1,3.7,-13.8,11.9,12.1
Diluted_EPS,-5.476,-89.845,-171.194,-63.508,-20.389
Goodwill_Intangibles,341.8,343.6,216.6,206.8,59.5
LT_Debt,18.0,12.9,0.0,98.0,0.0
Net_Income,-4.8,-76.8,-123.4,-58.8,-18.9
Revenue,430.0,459.6,329.9,189.9,65.0
Shares_Diluted,0.8708,0.8545,0.7208,0.9263,0.9263
Total_Assets,683.7,696.9,405.2,297.4,88.0
Total_Liabilities,620.8,658.3,324.1,320.0,75.7
