AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.2,0.2,0.1,0.1,0.2,0.1,0.4,0.1,0.2,0.4
Cash_from_Operations,-0.5,-0.1,0.7,-0.1,-0.4,0.5,0.2,-1.7,-1.7,-3.2
Diluted_EPS,-0.027,0.01,0.027,-0.027,-0.031,-0.001,0.004,-0.017,-0.029,-0.034
Goodwill_Intangibles,2.9,3.1,3.4,3.8,3.8,4.0,0.7,0.7,0.7,0.7
LT_Debt,0.0,0.1,0.2,0.3,0.5,0.7,0.0,0.0,0.0,1.1
Net_Income,-1.7,0.6,1.7,-1.7,-1.9,-0.1,0.3,-1.0,-1.3,-0.5
Revenue,8.8,13.1,15.4,10.5,11.5,10.0,9.1,7.1,6.3,8.0
Shares_Diluted,64.8827,64.9373,63.9268,63.2102,61.804,61.804,60.498,60.1948,59.0159,58.9281
Total_Assets,10.5,11.1,11.4,9.0,9.5,11.7,9.6,9.3,13.0,14.8
Total_Liabilities,2.9,1.8,3.1,2.7,1.9,2.3,0.8,1.0,2.7,2.9
