AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,11.3,4.3,4.0,2.3,3.0,4.5,0.1
Cash_from_Operations,-24.2,14.6,-25.0,-0.1,-6.6,-12.2,-8.4
Diluted_EPS,-0.351,0.032,-2.03,-12.985,-76.783,-77.642,-94.965
Goodwill_Intangibles,8.0,3.7,0.9,6.8,9.2,31.2,49.6
LT_Debt,0.0,0.0,2.4,5.8,0.0,6.5,6.5
Net_Income,-32.8,3.3,-90.5,-21.2,-37.2,-28.8,-24.0
Revenue,55.9,73.7,8.4,48.5,50.1,48.8,12.0
Shares_Diluted,93.6553,105.0768,44.5675,1.6344,0.4845,0.3714,0.2528
Total_Assets,70.4,127.3,103.1,28.7,30.6,65.2,82.8
Total_Liabilities,30.5,34.5,25.3,35.0,21.5,24.4,23.3
