AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,0.0,0.0,0.0,0.6
Cash_from_Operations,-21.3,-28.7,-31.5,-60.4
Diluted_EPS,-0.165,-0.626,-0.336,-1.264
Goodwill_Intangibles,54.1,52.3,56.0,
LT_Debt,0.0,95.5,107.7,0.0
Net_Income,-23.4,-88.4,-47.5,-178.6
Revenue,38.0,31.3,23.6,21.0
Shares_Diluted,141.3489,141.3489,141.3489,141.3489
Total_Assets,86.5,77.9,81.5,
Total_Liabilities,50.3,301.8,223.2,
