AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020
Capital_Expenditures,14.9,13.0,5.9
Cash_from_Operations,2.7,24.8,1.4
Diluted_EPS,0.179,0.329,0.203
Goodwill_Intangibles,2.2,2.4,2.2
LT_Debt,8.7,5.2,4.8
Net_Income,5.7,10.5,6.5
Revenue,36.1,29.8,24.1
Shares_Diluted,32.0,32.0,32.0
Total_Assets,65.5,47.6,37.1
Total_Liabilities,47.6,34.7,25.0
