AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,24.8,65.4,149.1,128.6,169.2,138.6,403.9,134.5,144.2
Cash_from_Operations,69.0,5.9,111.4,134.9,142.1,147.6,135.7,145.1,136.2
Diluted_EPS,-30.558,-55.791,-7.803,-29.613,-12.52,-5.974,-28.987,-0.441,0.307
Goodwill_Intangibles,10.1,11.4,13.4,17.9,17.7,19.7,22.2,6.5,9.1
LT_Debt,1421.8,1613.8,1659.4,1660.2,1656.8,1766.9,1784.4,1537.9,1632.7
Net_Income,-160.1,-287.3,-39.1,-137.7,-58.3,-27.5,-132.8,-30.1,19.6
Revenue,296.4,261.8,336.8,362.4,367.5,399.9,425.4,432.7,438.7
Shares_Diluted,5.2397,5.1487,5.015,4.6502,4.6245,4.606,4.5829,68.217,63.662
Total_Assets,2051.7,2177.2,2351.3,2405.1,2588.8,2616.8,2800.4,2539.7,2718.6
Total_Liabilities,2035.6,2046.0,1927.6,1964.3,1964.7,2061.6,2171.1,1724.2,1826.3
