AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015
Capital_Expenditures,73.4,52.8,39.9,23.9,12.8,12.7,12.8,16.1
Cash_from_Operations,-466.0,149.9,37.9,90.9,74.0,96.2,39.5,43.7
Diluted_EPS,28.477,1.492,0.882,6.043,1.643,0.888,-1.014,0.207
Goodwill_Intangibles,692.0,655.9,665.5,739.8,355.8,290.7,284.0,298.3
LT_Debt,0.1,49.7,49.9,50.3,194.1,0.0,0.0,0.0
Net_Income,2132.9,110.7,64.9,437.4,116.6,62.6,-69.5,14.2
Revenue,555.5,513.7,388.5,780.8,631.6,527.5,434.0,552.7
Shares_Diluted,74.897,74.229,73.557,72.386,70.937,70.485,68.507,68.549
Total_Assets,3716.1,1819.5,1559.3,1516.0,1095.3,766.6,685.9,758.7
Total_Liabilities,352.7,494.2,345.7,377.0,377.4,159.0,132.2,126.7
