AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,9.7,6.8,4.2,2.2,2.8,0.0
Cash_from_Operations,57.7,79.8,47.0,-9.1,53.6,0.0
Diluted_EPS,-0.091,-0.965,-2.014,0.766,3.037,0.0
Goodwill_Intangibles,62.8,74.6,91.1,3.0,,
LT_Debt,374.4,387.7,341.6,15.9,0.0,0.0
Net_Income,-1.9,-19.7,-43.6,16.5,65.5,0.0
Revenue,1752.9,1459.8,779.3,454.9,602.7,
Shares_Diluted,20.8095,20.4311,21.666,21.5777,21.5777,22.385
Total_Assets,729.1,824.9,639.2,126.7,151.0,0.1
Total_Liabilities,801.8,916.5,735.4,136.7,6.0,0.1
