AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.1,0.0,0.0,0.0,0.4,
Cash_from_Operations,-6.1,-6.0,-6.5,-3.8,-2.5,-0.4,-0.9
Diluted_EPS,-0.021,-0.023,-0.052,-0.045,-0.209,-0.006,-0.015
Goodwill_Intangibles,10.9,14.9,9.6,10.2,1.6,0.4,0.4
LT_Debt,2.4,1.9,2.5,5.3,0.0,0.0,0.0
Net_Income,-10.5,-10.0,-17.5,-9.9,-36.7,-0.9,-1.0
Revenue,2.6,3.8,2.3,1.9,0.7,0.0,0.0
Shares_Diluted,498.7474,429.8526,338.4853,217.5707,175.6962,161.4059,63.6508
Total_Assets,13.5,18.1,17.0,12.5,3.5,0.8,0.5
Total_Liabilities,5.3,3.6,4.1,25.8,27.6,0.3,0.3
