AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.8,0.9,4.9,3.7,4.8
Cash_from_Operations,-64.4,-167.5,-165.7,-106.1,-65.1
Diluted_EPS,-4.998,-64.327,-175.187,-126.665,-71.465
Goodwill_Intangibles,6.1,6.1,9.9,11.0,11.9
LT_Debt,127.8,126.4,160.2,72.4,71.5
Net_Income,-38.2,-247.4,-192.8,-228.8,-129.1
Revenue,0.3,1.2,0.2,144.0,128.0
Shares_Diluted,7.6351,3.8462,1.1005,1.8066,1.8066
Total_Assets,53.5,108.8,154.4,101.7,116.4
Total_Liabilities,155.8,193.8,261.4,185.6,153.4
