AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.5,64.1,8.6,64.2,48.6,22.8
Cash_from_Operations,50.9,44.8,37.3,28.0,30.7,16.1
Diluted_EPS,0.308,0.065,0.0,0.0,0.192,-1.048
Goodwill_Intangibles,11.6,14.7,17.7,20.7,34.1,36.9
LT_Debt,455.4,501.8,486.5,532.3,486.6,474.3
Net_Income,1.9,0.4,0.0,0.0,1.2,-6.3
Revenue,92.5,87.0,84.1,81.3,61.6,57.1
Shares_Diluted,6.009,6.0442,6.0442,6.0442,6.0442,6.0442
Total_Assets,547.0,570.0,523.7,540.0,500.4,474.6
Total_Liabilities,539.2,567.7,510.3,557.1,511.0,494.7
