AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,9451.1,9420.9,9202.3,9068.8,8228.9,8105.1,9144.2,7727.5,6904.9,7204.0
Cash_from_Operations,12097.8,12098.9,13672.1,10972.6,10236.1,10955.4,9422.0,9473.6,9945.5,8548.9
Diluted_EPS,0.785,0.003,1.836,1.101,0.673,0.639,1.074,0.987,0.397,0.84
Goodwill_Intangibles,40981.9,42137.3,46012.7,91271.7,44414.8,59858.2,44965.0,41166.2,41349.1,57090.2
LT_Debt,41813.2,41583.9,38726.0,41716.3,28524.4,28312.3,30961.2,29362.6,33312.0,35706.7
Net_Income,2095.5,8.6,4917.7,2946.1,1788.6,1697.0,2851.4,2637.1,1045.2,2205.8
Revenue,46809.6,45787.7,45516.3,45481.9,44559.1,43997.0,44060.5,40010.7,44569.3,48263.3
Shares_Diluted,2686.831,2657.758,2683.789,2687.975,2658.103,2711.936,2654.045,2700.7,2632.657,2626.9640000000004
Total_Assets,118071.0,116371.0,116007.0,114939.0,104010.0,102672.0,101939.0,90918.0,99888.6,101086.0
Total_Liabilities,83846.1,81546.1,78970.4,80777.2,70985.9,69317.9,68893.7,60184.1,66489.6,72409.7
