AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.5,1.8,1.5,3.3,1.8,1.0,1.2
Cash_from_Operations,-16.0,-7.7,-6.9,-11.5,-7.2,2.1,-1.8
Diluted_EPS,-5.895,-5.723,-6.532,-7.239,-7.648,-3.175,-2.797
Goodwill_Intangibles,24.7,29.3,29.2,29.3,32.1,29.9,30.1
LT_Debt,8.6,9.2,10.0,10.0,0.0,0.0,0.0
Net_Income,-23.0,-17.3,-18.0,-19.4,-15.6,-6.2,-4.8
Revenue,31.2,36.4,38.4,35.9,30.8,31.0,27.8
Shares_Diluted,3.9081,3.0164,2.7583,2.6817,2.0461,1.9568,1.7158
Total_Assets,46.1,58.9,60.8,60.0,64.2,47.5,54.4
Total_Liabilities,32.3,46.9,36.1,28.2,17.1,15.8,17.1
