AAII_YR_DATA,12/31/2022,01/01/2022,01/02/2021,12/28/2019,12/29/2018,12/30/2017,12/31/2016,01/02/2016,12/27/2014,12/28/2013
Capital_Expenditures,0.5,0.5,0.0,0.1,0.1,0.1,0.3,0.4,0.1,0.1
Cash_from_Operations,-15.0,6.0,-8.1,-11.5,-10.6,-11.3,-20.8,-9.3,-6.4,-4.0
Diluted_EPS,-0.144,0.02,-0.04,-0.084,-0.16,-0.205,-0.209,-0.419,-0.382,-0.349
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.0,0.2,15.8,17.3,14.8,14.3,13.7,3.6,5.1
Net_Income,-33.4,4.8,-7.3,-12.5,-17.1,-13.4,-11.2,-20.5,-15.4,-10.8
Revenue,161.6,142.4,47.2,26.1,33.5,38.3,12.8,8.0,19.2,23.0
Shares_Diluted,231.487,241.55,183.594,148.132,107.071,65.513,53.784,48.967,40.304,30.881
Total_Assets,67.3,91.2,25.3,22.1,24.9,18.8,20.0,24.7,15.9,17.7
Total_Liabilities,40.1,37.1,27.9,30.5,30.5,24.1,20.5,26.0,11.2,10.7
