AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,548.5,284.4,345.2,326.1,298.3,189.7,274.4,279.7,702.4,466.7
Cash_from_Operations,26142.7,10923.7,11966.6,7072.4,5978.8,1961.2,3647.1,-4727.1,15681.1,6514.8
Diluted_EPS,0.606,0.548,0.388,0.557,0.513,0.475,0.442,0.471,0.267,0.278
Goodwill_Intangibles,4649.4,4246.3,3485.9,3966.5,3888.0,6172.9,6956.6,1593.4,1433.7,1428.6
LT_Debt,54258.0,39243.0,36223.7,31229.3,29557.8,24874.6,45437.2,29461.0,21318.0,21578.8
Net_Income,5974.6,5382.8,3800.9,5453.8,5010.0,4665.3,4350.3,4910.7,2924.3,3046.5
Revenue,38273.4,25999.2,23005.3,23766.1,26788.6,29295.7,32667.8,28195.2,21273.6,17459.6
Shares_Diluted,9858.76,9831.333,9801.524,9785.216,9773.764,9818.48,9849.476,10417.47,10968.95,10943.77
Total_Assets,467360.0,416221.0,406172.0,329379.0,312345.0,288900.0,271817.0,243515.0,199639.0,190553.0
Total_Liabilities,433576.0,385472.0,377409.0,301837.0,284831.0,262473.0,247660.0,222099.0,182059.0,175116.0
