AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017
Capital_Expenditures,0.8,0.0,0.4,3.2,0.6,0.6
Cash_from_Operations,-3.0,-0.4,-2.4,0.3,-5.3,6.4
Diluted_EPS,-0.674,-0.285,-0.372,-0.187,-0.311,0.057
Goodwill_Intangibles,0.4,0.3,0.2,,,
LT_Debt,1.1,0.0,0.8,1.0,0.0,0.0
Net_Income,-5.5,-2.4,-3.1,-1.5,-2.6,0.5
Revenue,39.0,35.0,27.4,33.7,53.4,104.6
Shares_Diluted,8.1648,8.2678,8.2678,8.2678,8.2678,8.2678
Total_Assets,35.5,24.6,23.8,26.7,32.7,
Total_Liabilities,26.3,21.0,18.2,24.0,28.3,
