AAII_YR_DATA,10/02/2022,10/03/2021,09/27/2020,09/29/2019,09/30/2018,10/01/2017,10/02/2016,09/27/2015,09/28/2014,09/29/2013
Capital_Expenditures,10.6,8.6,12.2,16.2,9.7,9.7,11.9,24.3,19.4,27.5
Cash_from_Operations,336.2,304.4,262.5,208.5,185.7,138.0,142.0,162.8,127.4,137.8
Diluted_EPS,4.858,4.258,3.16,2.837,2.419,2.035,1.421,0.635,1.662,-0.033
Goodwill_Intangibles,1139.6,1146.6,1007.4,941.3,814.9,767.6,767.0,641.7,777.3,809.7
LT_Debt,246.3,200.0,242.4,263.9,264.7,341.3,331.5,181.0,192.8,203.4
Net_Income,263.1,232.8,173.9,158.7,136.9,117.9,83.8,39.1,108.3,-2.1
Revenue,2835.6,2552.2,2348.6,2389.6,2200.7,2034.0,1929.2,1718.7,1859.9,2024.8
Shares_Diluted,54.163,54.675,55.022,55.936,56.598,57.913,58.966,61.532,65.146,64.544
Total_Assets,2622.8,2576.6,2378.6,2147.4,1959.4,1902.7,1800.8,1559.2,1776.4,1799.1
Total_Liabilities,1439.7,1342.3,1341.2,1158.1,992.5,974.3,931.5,702.9,764.3,801.3
