AAII_YR_DATA,01/01/2022,01/02/2021,12/28/2019,12/29/2018,12/30/2017,12/31/2016,01/02/2016,01/03/2015,12/28/2013
Capital_Expenditures,0.2,0.1,0.1,0.4,0.6,1.1,0.9,0.6,0.4
Cash_from_Operations,8.2,-3.2,-7.9,-10.0,-3.6,-0.1,-0.6,4.0,0.8
Diluted_EPS,-0.339,-0.457,-0.643,-1.05,-1.114,-1.151,0.047,0.97,0.221
Goodwill_Intangibles,3.2,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.9
LT_Debt,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-5.2,-6.3,-8.8,-12.8,-12.9,-11.7,0.5,10.0,2.2
Revenue,53.9,36.3,43.4,42.6,41.6,46.2,41.8,42.8,38.3
Shares_Diluted,15.421,13.842,13.707,12.199,11.555,10.173,10.128,10.357,10.104
Total_Assets,48.7,28.0,34.8,41.7,41.6,48.1,41.8,41.8,33.7
Total_Liabilities,25.4,10.6,12.1,11.7,11.1,9.0,8.1,8.1,7.8
