AAII_YR_DATA,01/01/2023,01/02/2022,01/03/2021,12/29/2019,12/30/2018
Capital_Expenditures,73.7,90.8,128.9,148.0,129.4
Cash_from_Operations,14.7,-127.4,-38.2,-2.3,44.4
Diluted_EPS,-1.103,-1.528,-1.131,-0.633,-0.452
Goodwill_Intangibles,325.6,346.4,309.3,297.9,215.4
LT_Debt,849.0,722.8,861.2,766.4,560.1
Net_Income,-220.6,-265.4,-228.5,-127.7,-91.4
Revenue,972.2,560.6,384.4,642.0,575.3
Shares_Diluted,199.9853,173.6912,201.9622,201.9622,201.9622
Total_Assets,2467.9,2381.5,2104.4,1965.0,1435.1
Total_Liabilities,2490.3,2205.3,2361.8,2100.5,1515.0
