AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1.4,1.6,0.9,0.8,3.9,0.7,0.5
Cash_from_Operations,13.4,4.8,6.6,8.5,6.9,3.4,4.7
Diluted_EPS,0.684,0.868,0.269,0.579,0.56,0.258,0.425
Goodwill_Intangibles,26.2,26.7,28.0,7.7,8.2,8.7,0.2
LT_Debt,57.4,57.4,19.4,23.0,28.7,25.6,12.4
Net_Income,13.0,13.8,3.2,6.8,6.5,2.3,2.9
Revenue,58.4,56.8,39.6,34.7,33.3,26.1,22.9
Shares_Diluted,19.0632,15.8776,11.827,11.6551,11.5678,8.9744,6.9198
Total_Assets,1275.1,1258.5,1194.1,846.6,817.0,766.1,525.6
Total_Liabilities,1062.3,1048.9,1058.0,742.4,712.3,668.4,469.6
