AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,2.1,4.1,4.8,3.3,2.0
Cash_from_Operations,-394.9,-518.4,37.2,-87.3,-35.3
Diluted_EPS,-1.191,-4.146,0.795,-0.877,-0.483
Goodwill_Intangibles,1338.3,1264.1,76.4,48.2,51.0
LT_Debt,355.2,346.9,338.9,43.1,0.1
Net_Income,-162.7,-554.0,105.4,-110.9,-60.5
Revenue,299.6,193.4,352.9,77.3,82.3
Shares_Diluted,136.6228,133.6044,132.6716,126.4448,125.3556
Total_Assets,2581.0,2752.6,1787.0,534.6,580.1
Total_Liabilities,2411.5,2488.9,1117.9,109.6,54.3
