AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,287.0,266.4,301.7,334.2
Cash_from_Operations,-11.7,642.8,1195.6,612.6
Diluted_EPS,0.33,0.298,0.972,0.98
Goodwill_Intangibles,10726.1,8469.9,7419.1,7473.6
LT_Debt,9765.3,7730.9,7413.8,6557.5
Net_Income,224.3,203.2,666.1,673.2
Revenue,6529.7,5312.0,5750.2,5490.3
Shares_Diluted,679.8051,681.5569,685.5157,686.9736
Total_Assets,23187.8,20711.0,16447.9,16736.3
Total_Liabilities,16587.1,14763.2,10947.2,11543.8
