AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,160.6,132.6,204.3,163.8,169.3,184.1,86.1,217.3,205.0,135.2
Cash_from_Operations,194.7,123.4,178.9,146.4,146.5,109.5,155.8,190.5,172.5,111.2
Diluted_EPS,1.691,0.996,0.869,0.89,0.882,0.902,0.676,0.839,0.965,0.826
Goodwill_Intangibles,424.4,190.7,193.0,195.4,146.9,149.4,112.3,114.2,116.6,117.4
LT_Debt,399.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,75.0
Net_Income,133.6,79.3,70.8,73.0,72.7,75.2,56.4,73.1,84.8,70.6
Revenue,968.0,607.3,645.3,596.8,610.8,607.3,612.9,736.3,871.4,582.3
Shares_Diluted,78.974,79.612,81.444,82.024,82.41,83.336,83.365,87.109,87.92299999999999,85.441
Total_Assets,1669.5,928.5,951.2,898.9,806.2,789.1,738.2,736.0,760.0,724.8
Total_Liabilities,814.0,201.4,226.8,214.3,190.2,214.5,232.4,266.1,283.4,327.2
