AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.0,0.0,0.1,0.4,0.9,7.2,0.7
Cash_from_Operations,-7.0,-5.0,-7.5,-7.1,-4.4,-1.3,0.0
Diluted_EPS,-1.279,-1.071,-1.595,-0.241,-0.108,-0.053,0.001
Goodwill_Intangibles,,,,0.0,1.3,1.6,
LT_Debt,4.6,2.8,3.6,3.2,1.0,0.0,0.0
Net_Income,-11.9,-9.1,-12.7,-18.1,-7.8,-3.5,0.1
Revenue,1.2,1.4,1.4,1.5,1.6,1.1,0.6
Shares_Diluted,9.3286,8.4911,7.9508,75.1169,72.0041,65.0335,51.1395
Total_Assets,19.8,10.2,10.4,10.5,13.4,12.7,3.7
Total_Liabilities,8.6,7.2,6.2,6.0,1.3,4.8,0.2
