AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,283.0,139.0,103.0,69.0,90.4,90.6,115.2,89.0,74.6,42.3
Cash_from_Operations,1474.0,2005.0,2146.0,1675.0,1461.1,754.6,1259.2,1153.6,1018.6,926.8
Diluted_EPS,7.439,11.783,9.393,7.422,6.737,5.152,1.364,4.628,4.605,3.6
Goodwill_Intangibles,8049.0,8466.0,6380.0,5220.0,5347.4,5384.8,1320.0,1275.4,1366.6,886.8
LT_Debt,7389.0,7413.0,6422.0,5581.0,5226.1,5111.1,3063.0,3380.6,2547.3,2101.8
Net_Income,1374.0,2214.0,1778.0,1422.0,1309.6,1000.6,266.6,941.3,988.7,804.5
Revenue,5468.0,6218.0,5371.0,4829.0,4442.7,4204.1,3604.2,3484.5,3334.3,2972.5
Shares_Diluted,184.7,187.9,189.3,191.6,194.4,194.2,195.4,203.4,214.7,223.5
Total_Assets,14349.0,14680.0,12409.0,10265.0,9526.2,8594.2,5327.3,5103.0,4669.0,4395.1
Total_Liabilities,11830.0,11953.0,10840.0,9653.0,9066.3,8921.9,6552.3,5668.0,4856.8,4058.1
