AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,1.3,0.6,0.6,2.9
Cash_from_Operations,-14.9,-12.9,-1.4,-3.3
Diluted_EPS,-0.646,-0.724,-0.067,-0.085
Goodwill_Intangibles,6.0,6.6,7.2,0.1
LT_Debt,0.1,0.8,0.2,0.0
Net_Income,-12.7,-14.6,-4.7,-6.0
Revenue,4.3,3.0,4.5,4.0
Shares_Diluted,19.6643,20.1855,70.0,70.0
Total_Assets,20.4,15.4,29.2,9.0
Total_Liabilities,8.2,5.2,4.4,20.6
