AAII_YR_DATA,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015
Capital_Expenditures,30.3,44.5,37.9,27.1,13.2,7.4
Cash_from_Operations,37.7,54.1,135.9,121.2,96.2,62.0
Diluted_EPS,-0.71,0.239,-0.694,0.141,0.103,0.031
Goodwill_Intangibles,275.7,154.1,75.9,10.7,1.4,0.0
LT_Debt,197.9,210.9,63.5,0.0,0.0,0.0
Net_Income,-114.3,38.4,-113.0,23.0,16.9,5.0
Revenue,538.8,625.8,448.5,322.4,239.5,170.7
Shares_Diluted,161.0737,160.6776,162.9302,162.9302,162.9302,162.9302
Total_Assets,1237.5,951.3,658.5,363.1,222.3,125.1
Total_Liabilities,1174.7,780.1,498.0,318.0,223.8,161.4
