AAII_YR_DATA,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016
Capital_Expenditures,10.6,8.8,13.1,21.4,13.4,4.7,3.8,3.2
Cash_from_Operations,-20.6,18.7,11.3,-3.6,-23.6,-24.8,-25.0,-37.4
Diluted_EPS,-1.506,-0.8,-0.622,-0.75,-0.797,-0.445,-0.378,-0.466
Goodwill_Intangibles,67.2,21.1,21.6,23.3,25.0,31.9,2.5,
LT_Debt,210.4,0.0,1.7,6.1,10.5,12.4,1.0,0.0
Net_Income,-198.0,-99.4,-73.2,-83.4,-72.7,-39.4,-39.1,-48.2
Revenue,396.1,346.7,305.4,276.1,235.0,171.1,113.0,92.2
Shares_Diluted,131.441,124.206,117.598,111.122,91.267,88.547,103.5082,103.5082
Total_Assets,668.6,441.3,421.5,402.2,326.0,155.4,120.5,
Total_Liabilities,571.4,270.6,249.6,237.6,144.2,128.7,65.5,
