AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,11/30/2015,11/30/2014,11/30/2013
Capital_Expenditures,5.6,0.2,0.1,0.0,0.6,,,,
Cash_from_Operations,-32.2,17.1,-39.7,-23.5,-9.6,0.0,0.0,-0.1,0.0
Diluted_EPS,-1.405,-11.444,-40.528,-33.953,-17.289,-0.805,-0.192,-0.512,-0.21100000000000002
Goodwill_Intangibles,563.0,26.9,26.9,26.1,1.9,,0.0,0.0,
LT_Debt,285.7,31.9,22.1,8.8,1.5,0.0,0.0,0.1,0.0
Net_Income,-9.7,-25.0,-45.2,-25.2,-8.6,-0.2,0.0,-0.1,0.0
Revenue,938.4,416.4,840.6,156.4,7.3,0.0,0.0,0.0,0.0
Shares_Diluted,6.9203,2.1844,1.1147,0.7417,0.4959,0.2791,0.2545,0.2647,0.1579
Total_Assets,1027.7,77.0,113.4,108.9,18.2,1.4,0.0,0.0,0.0
Total_Liabilities,596.1,72.4,100.5,78.1,3.8,0.3,0.2,0.1,0.0
