AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,63.6,63.7,54.4,10.8,14.0
Cash_from_Operations,-88.6,-4.4,-31.7,-18.4,-2.7
Diluted_EPS,-1.639,-0.749,-0.429,-0.363,-0.252
Goodwill_Intangibles,1499.6,21.3,21.3,21.6,22.0
LT_Debt,309.8,241.2,0.0,3.2,7.5
Net_Income,-254.6,-88.7,-52.6,-44.4,-30.8
Revenue,621.6,377.6,276.3,212.7,176.8
Shares_Diluted,155.343,118.3793,122.4112,122.4112,122.4112
Total_Assets,2627.0,1071.0,430.3,326.3,132.5
Total_Liabilities,898.4,522.5,214.9,76.2,72.7
