AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,0.9,0.1,0.2,0.4,0.7,1.1,0.5,0.1,0.0,0.0
Cash_from_Operations,1.2,45.7,19.5,18.0,14.1,6.5,6.0,2.0,1.7,1.8
Diluted_EPS,1.642,0.746,0.543,0.408,0.143,0.266,0.302,0.869,0.544,-0.017
Goodwill_Intangibles,106.5,113.1,119.8,94.0,39.4,41.1,42.3,8.6,8.6,8.6
LT_Debt,20.4,44.6,60.5,53.6,7.0,15.1,18.7,0.0,0.0,0.0
Net_Income,23.3,10.1,7.1,5.3,1.8,3.3,3.4,8.7,5.4,-0.2
Revenue,395.2,246.1,209.2,160.4,133.2,115.7,85.6,65.3,60.5,53.5
Shares_Diluted,14.179,13.597,13.105,13.041,12.873,12.352,11.22,10.039,9.839,9.31
Total_Assets,169.0,197.2,183.6,129.3,62.5,69.7,65.1,28.6,30.1,25.8
Total_Liabilities,77.0,131.6,130.1,83.7,23.1,33.9,33.3,5.8,16.2,18.0
